composer,title,split,performer,model,recording,melody_ioi_corr,acc_ioi_corr,ratio_ioi_corr,melody_ioi_dtw_dist,acc_ioi_dtw_dist,melody_ioi_hist_kld,acc_ioi_hist_kld
Beethoven,Piano_Sonatas_21-1,train,LeeN02M,kong,disklavier,0.7464,0.489,0.0,1155.0,4353.0,0.2708,0.4727
Beethoven,Piano_Sonatas_21-1,train,LeeN02M,T5,disklavier,0.2064,0.4159,0.0,3781.0,9357.0,0.5665,0.5217
Beethoven,Piano_Sonatas_21-1,train,LeeN02M,oaf,disklavier,0.7075,0.6643,0.0,1326.0,4347.0,2.4124,4.8137
Beethoven,Piano_Sonatas_21-1,train,RichardsonC02M,oaf,maestro,0.4605,0.2879,0.0,1476.0,3892.0,2.8992,4.6528
Beethoven,Piano_Sonatas_21-1,train,RichardsonC02M,kong,maestro,0.6482,0.3878,0.0,691.0,1837.0,0.059,0.172
Beethoven,Piano_Sonatas_21-1,train,RichardsonC02M,T5,maestro,0.0421,0.4941,0.0,5355.0,5814.0,0.1236,0.1131
Beethoven,Piano_Sonatas_21-1,train,RichardsonC02M,kong,disklavier,0.688,0.4911,0.0,1350.0,4318.0,0.5429,0.495
Beethoven,Piano_Sonatas_21-1,train,RichardsonC02M,T5,disklavier,0.3011,0.4282,0.0,3707.0,9693.0,0.8348,0.5392
Beethoven,Piano_Sonatas_21-1,train,RichardsonC02M,oaf,disklavier,0.6278,0.7247,0.0,1687.0,4677.0,2.5675,4.3058
Beethoven,Piano_Sonatas_21-1,train,Shychko02M,T5,maestro,0.1158,0.4481,0.0,2307.0,5050.0,0.0529,0.065
Beethoven,Piano_Sonatas_21-1,train,Shychko02M,kong,maestro,0.5745,0.3619,0.0,677.0,2068.0,0.303,0.1634
Beethoven,Piano_Sonatas_21-1,train,Shychko02M,oaf,maestro,0.3702,0.2038,0.0,1292.0,2794.0,1.7722,4.3138
Beethoven,Piano_Sonatas_21-1,train,Shychko02M,kong,disklavier,0.7057,0.3596,0.0,1559.0,2714.0,0.3855,0.7852
Beethoven,Piano_Sonatas_21-1,train,Shychko02M,oaf,disklavier,0.6682,0.5612,0.0,1466.0,3091.0,1.4818,3.6591
Beethoven,Piano_Sonatas_21-1,train,Shychko02M,T5,disklavier,0.1909,0.3598,0.0,5653.0,9693.0,1.2477,0.9517
